address,trash_day,lat,lng
"146 17th St, Brooklyn, NY, USA",MON,40.6655833,-73.994591
"146 17th St, Brooklyn, NY, USA",THU,40.6655833,-73.994591
"146 7th Ave, Brooklyn, NY, USA",WED,40.6727273,-73.9769999
"146 7th Ave, Brooklyn, NY, USA",SAT,40.6727273,-73.9769999
"147 13th St, Brooklyn, NY, USA",MON,40.6690394,-73.9930036
"147 13th St, Brooklyn, NY, USA",THU,40.6690394,-73.9930036
"147 9th St, Brooklyn, NY, USA",MON,40.6723249,-73.992346
"147 9th St, Brooklyn, NY, USA",THU,40.6723249,-73.992346
"148 17th St, Brooklyn, NY, USA",MON,40.665448,-73.994708
"148 17th St, Brooklyn, NY, USA",THU,40.665448,-73.994708
"148 7th Ave, Brooklyn, NY, USA",WED,40.67266360000001,-73.97702610000002
"148 7th Ave, Brooklyn, NY, USA",SAT,40.67266360000001,-73.97702610000002
"149 17th St, Brooklyn, NY, USA",MON,40.665898,-73.994413
"149 17th St, Brooklyn, NY, USA",THU,40.665898,-73.994413
"149 18th St, Brooklyn, NY, USA",MON,40.6650456,-73.9947493
"149 18th St, Brooklyn, NY, USA",THU,40.6650456,-73.9947493
"149 2nd Ave, Brooklyn, NY, USA",MON,40.6706119,-73.99471799999999
"149 2nd Ave, Brooklyn, NY, USA",THU,40.6706119,-73.99471799999999
"150 7th Ave, Brooklyn, NY, USA",WED,40.6726405,-73.9770686
"150 7th Ave, Brooklyn, NY, USA",SAT,40.6726405,-73.9770686
"1501 10th Ave, Brooklyn, NY, USA",MON,40.6598145,-73.9775315
"1501 10th Ave, Brooklyn, NY, USA",THU,40.6598145,-73.9775315
"1501 11th Ave, Brooklyn, NY, USA",TUE,40.6586912,-73.97518749999999
"1501 11th Ave, Brooklyn, NY, USA",FRI,40.6586912,-73.97518749999999
"1501 8th Ave, Brooklyn, NY, USA",WED,40.661964,-73.982111
"1501 8th Ave, Brooklyn, NY, USA",SAT,40.661964,-73.982111
"1502 10th Ave, Brooklyn, NY, USA",MON,40.6596381,-73.97788299999999
"1502 10th Ave, Brooklyn, NY, USA",THU,40.6596381,-73.97788299999999
"1504 8th Ave, Brooklyn, NY, USA",WED,40.6620798,-73.9825208
"1504 8th Ave, Brooklyn, NY, USA",SAT,40.6620798,-73.9825208
"151 11th St, Brooklyn, NY, USA",MON,40.6706842,-73.9925641
"151 11th St, Brooklyn, NY, USA",THU,40.6706842,-73.9925641
"151 7th Ave, Brooklyn, NY, USA",WED,40.672484,-73.976579
"151 7th Ave, Brooklyn, NY, USA",SAT,40.672484,-73.976579
"152 7th Ave, Brooklyn, NY, USA",WED,40.6725584,-73.977103
"152 7th Ave, Brooklyn, NY, USA",SAT,40.6725584,-73.977103
"152 8th Ave, Brooklyn, NY, USA",WED,40.6716862,-73.9745662
"152 8th Ave, Brooklyn, NY, USA",SAT,40.6716862,-73.9745662
"152 9th St, Brooklyn, NY, USA",MON,40.6720613,-73.9926674
"152 9th St, Brooklyn, NY, USA",THU,40.6720613,-73.9926674
"1521 10th Ave, Brooklyn, NY, USA",MON,40.6592257,-73.9776526
"1521 10th Ave, Brooklyn, NY, USA",THU,40.6592257,-73.9776526
"1521 11th Ave, Brooklyn, NY, USA",TUE,40.658138,-73.975286
"1521 11th Ave, Brooklyn, NY, USA",FRI,40.658138,-73.975286
"1522 10th Ave, Brooklyn, NY, USA",MON,40.6594444,-73.9781131
"1522 10th Ave, Brooklyn, NY, USA",THU,40.6594444,-73.9781131
"153 17th St, Brooklyn, NY, USA",MON,40.6657652,-73.9944005
"153 17th St, Brooklyn, NY, USA",THU,40.6657652,-73.9944005
"153 7th Ave, Brooklyn, NY, USA",WED,40.672438,-73.976618
"153 7th Ave, Brooklyn, NY, USA",SAT,40.672438,-73.976618
"154 14th St, Brooklyn, NY, USA",MON,40.667813,-73.9927249
"154 14th St, Brooklyn, NY, USA",THU,40.667813,-73.9927249
"154 8th Ave, Brooklyn, NY, USA",WED,40.6716347,-73.9746121
"154 8th Ave, Brooklyn, NY, USA",SAT,40.6716347,-73.9746121
"155 11th St, Brooklyn, NY, USA",MON,40.67061,-73.99244929999999
"155 11th St, Brooklyn, NY, USA",THU,40.67061,-73.99244929999999
"155 15th St, Brooklyn, NY, USA",MON,40.666591,-73.99115239999999
"155 15th St, Brooklyn, NY, USA",THU,40.666591,-73.99115239999999
"155 7th Ave, Brooklyn, NY, USA",WED,40.6724079,-73.97665529999999
"155 7th Ave, Brooklyn, NY, USA",SAT,40.6724079,-73.97665529999999
"155 8th St, Brooklyn, NY, USA",MON,40.6720854,-73.99056580000001
"155 8th St, Brooklyn, NY, USA",THU,40.6720854,-73.99056580000001
"156 12th St, Brooklyn, NY, USA",MON,40.6693358,-73.99225419999999
"156 12th St, Brooklyn, NY, USA",THU,40.6693358,-73.99225419999999
"156 7th Ave, Brooklyn, NY, USA",WED,40.6723139,-73.9772867
"156 7th Ave, Brooklyn, NY, USA",SAT,40.6723139,-73.9772867
"156 8th Ave, Brooklyn, NY, USA",WED,40.6715494,-73.9746236
"156 8th Ave, Brooklyn, NY, USA",SAT,40.6715494,-73.9746236
"157 12th St, Brooklyn, NY, USA",MON,40.6696433,-73.9924953
"157 12th St, Brooklyn, NY, USA",THU,40.6696433,-73.9924953
"157 17th St, Brooklyn, NY, USA",MON,40.6656942,-73.9943088
"157 17th St, Brooklyn, NY, USA",THU,40.6656942,-73.9943088
"157 7th Ave, Brooklyn, NY, USA",WED,40.6723564,-73.9767012
"157 7th Ave, Brooklyn, NY, USA",SAT,40.6723564,-73.9767012
"157 9th St, Brooklyn, NY, USA",MON,40.67218700000001,-73.99195999999999
"157 9th St, Brooklyn, NY, USA",THU,40.67218700000001,-73.99195999999999
"158 18th St, Brooklyn, NY, USA",MON,40.664449,-73.99443099999999
"158 18th St, Brooklyn, NY, USA",THU,40.664449,-73.99443099999999
"158 7th Ave, Brooklyn, NY, USA",WED,40.6722948,-73.97742439999999
"158 7th Ave, Brooklyn, NY, USA",SAT,40.6722948,-73.97742439999999
"159 17th St, Brooklyn, NY, USA",MON,40.66573200000001,-73.99413799999999
"159 17th St, Brooklyn, NY, USA",THU,40.66573200000001,-73.99413799999999
"159 18th St, Brooklyn, NY, USA",MON,40.6649168,-73.9943237
"159 18th St, Brooklyn, NY, USA",THU,40.6649168,-73.9943237
"160 17th St, Brooklyn, NY, USA",MON,40.6652835,-73.9943432
"160 17th St, Brooklyn, NY, USA",THU,40.6652835,-73.9943432
"160 7th Ave, Brooklyn, NY, USA",WED,40.672224,-73.9774703
"160 7th Ave, Brooklyn, NY, USA",SAT,40.672224,-73.9774703
"1601 10th Ave, Brooklyn, NY, USA",MON,40.65906020000001,-73.977836
"1601 10th Ave, Brooklyn, NY, USA",THU,40.65906020000001,-73.977836
"1601 11th Ave, Brooklyn, NY, USA",TUE,40.657903,-73.97548499999999
"1601 11th Ave, Brooklyn, NY, USA",FRI,40.657903,-73.97548499999999
"1602 8th Ave, Brooklyn, NY, USA",WED,40.661548,-73.983092
"1602 8th Ave, Brooklyn, NY, USA",SAT,40.661548,-73.983092
"1603 11th Ave, Brooklyn, NY, USA",TUE,40.657854,-73.97552499999999
"1603 11th Ave, Brooklyn, NY, USA",FRI,40.657854,-73.97552499999999
"161 11th St, Brooklyn, NY, USA",MON,40.6702541,-73.99200909999999
"161 11th St, Brooklyn, NY, USA",THU,40.6702541,-73.99200909999999
