address,trash_day
"1522 10th Ave, Brooklyn, NY, USA",THU
"153 17th St, Brooklyn, NY, USA",MON
"153 17th St, Brooklyn, NY, USA",THU
"153 7th Ave, Brooklyn, NY, USA",WED
"153 7th Ave, Brooklyn, NY, USA",SAT
"154 14th St, Brooklyn, NY, USA",MON
"154 14th St, Brooklyn, NY, USA",THU
"154 8th Ave, Brooklyn, NY, USA",WED
"154 8th Ave, Brooklyn, NY, USA",SAT
"155 11th St, Brooklyn, NY, USA",MON
"155 11th St, Brooklyn, NY, USA",THU
"155 15th St, Brooklyn, NY, USA",MON
"155 15th St, Brooklyn, NY, USA",THU
"155 7th Ave, Brooklyn, NY, USA",WED
"155 7th Ave, Brooklyn, NY, USA",SAT
"155 8th St, Brooklyn, NY, USA",MON
"155 8th St, Brooklyn, NY, USA",THU
"156 12th St, Brooklyn, NY, USA",MON
"156 12th St, Brooklyn, NY, USA",THU
"156 7th Ave, Brooklyn, NY, USA",WED
"156 7th Ave, Brooklyn, NY, USA",SAT
"156 8th Ave, Brooklyn, NY, USA",WED
"156 8th Ave, Brooklyn, NY, USA",SAT
"157 12th St, Brooklyn, NY, USA",MON
"157 12th St, Brooklyn, NY, USA",THU
"157 17th St, Brooklyn, NY, USA",MON
"157 17th St, Brooklyn, NY, USA",THU
"157 7th Ave, Brooklyn, NY, USA",WED
"157 7th Ave, Brooklyn, NY, USA",SAT
"157 9th St, Brooklyn, NY, USA",MON
"157 9th St, Brooklyn, NY, USA",THU
"158 18th St, Brooklyn, NY, USA",MON
"158 18th St, Brooklyn, NY, USA",THU
"158 7th Ave, Brooklyn, NY, USA",WED
"158 7th Ave, Brooklyn, NY, USA",SAT
"159 17th St, Brooklyn, NY, USA",MON
"159 17th St, Brooklyn, NY, USA",THU
"159 18th St, Brooklyn, NY, USA",MON
"159 18th St, Brooklyn, NY, USA",THU
"160 17th St, Brooklyn, NY, USA",MON
"160 17th St, Brooklyn, NY, USA",THU
"160 7th Ave, Brooklyn, NY, USA",WED
"160 7th Ave, Brooklyn, NY, USA",SAT
"1601 10th Ave, Brooklyn, NY, USA",MON
"1601 10th Ave, Brooklyn, NY, USA",THU
"1601 11th Ave, Brooklyn, NY, USA",TUE
"1601 11th Ave, Brooklyn, NY, USA",FRI
"1602 8th Ave, Brooklyn, NY, USA",WED
"1602 8th Ave, Brooklyn, NY, USA",SAT
"1603 11th Ave, Brooklyn, NY, USA",TUE
"1603 11th Ave, Brooklyn, NY, USA",FRI
"161 11th St, Brooklyn, NY, USA",MON
"161 11th St, Brooklyn, NY, USA",THU
"161 18th St, Brooklyn, NY, USA",MON
"161 18th St, Brooklyn, NY, USA",THU
"161 7th Ave, Brooklyn, NY, USA",WED
"161 7th Ave, Brooklyn, NY, USA",SAT
"161 8th St, Brooklyn, NY, USA",MON
"161 8th St, Brooklyn, NY, USA",THU
"161 9th St, Brooklyn, NY, USA",MON
"161 9th St, Brooklyn, NY, USA",THU
"1613 8th Ave, Brooklyn, NY, USA",WED
"1613 8th Ave, Brooklyn, NY, USA",SAT
"1615 8th Ave, Brooklyn, NY, USA",WED
"1615 8th Ave, Brooklyn, NY, USA",SAT
"162 11th St, Brooklyn, NY, USA",MON
"162 11th St, Brooklyn, NY, USA",THU
"162 16th St, Brooklyn, NY, USA",MON
"162 16th St, Brooklyn, NY, USA",THU
"162 17th St, Brooklyn, NY, USA",MON
"162 17th St, Brooklyn, NY, USA",THU
"162 2nd Ave, Brooklyn, NY, USA",MON
"162 2nd Ave, Brooklyn, NY, USA",THU
"162 7th Ave, Brooklyn, NY, USA",WED
"162 7th Ave, Brooklyn, NY, USA",SAT
"162 8th Ave, Brooklyn, NY, USA",WED
"162 8th Ave, Brooklyn, NY, USA",SAT
"1625 10th Ave, Brooklyn, NY, USA",MON
"1625 10th Ave, Brooklyn, NY, USA",THU
"1625 11th Ave, Brooklyn, NY, USA",TUE
